OBJECTID,Event_ID,EvB_Wpt_Id,SwB_Wpt_ID,Event_Date,CPA,ObType,ObOrder,ObOrder2,Year_,Ship,Observer,ObLocation,Approx,Species,Count_,IS_WW,WW_Speed,LAT,LONG_,Y_PROJ,X_PROJ,NDateS,NDateD,WptID,DateD,TimeD,DateTim,DateTxt,TimeTxt,TrkID,Vessel_Azi,X_GPS_UTM,Y_GPS_UTM,Vessel_Kts,X_BB_UTM,Y_BB_UTM,X_MM_UTM,Y_MM_UTM,BB_MM_Azi,BB_MM_Dist,BB_MM_Bear,Subarea1,Subarea2,Subarea3,VslDepth_m,VslDstSh_m,MMDepth_m,MMDstSh_m,RadComment,RadContact,RadioBy,RadioResp,RadioTime,R_Contact,Month_,season,Direction,Orientation,Behavior,Clouds,Rain,Wind,SeaState,Visibility,Shape
637,2009-06-28-K,2009-06-28-K-017,2009-06-28-K-017,6/28/2009,Y,Single,1,1,2009,Volendam,Karin,Starboard,y,humpback whale,1,n,0,58.32229078,-135.903024,58.32229078,-135.903024,6/28/2009,6/28/2009,865,6/28/2009,6:22:16,6/28/2009,20090628,06:22:16,58740,289.9176283,447104.3885,6464947.45,19.10181363,447096.3643,6464948.23,446616.5921,6465820.259,331.1813131,995.2966559,41.26368484,Lower Bay,Outside,Outside,-33,6287.483095,-33,5401.395751,,,,,,,6,1,W-With,0-Parallel,DF-Dive-fluke-up,30,none,light,1',excellent,
638,2008-07-02-K,2008-07-02-K-022,2008-07-02-K-020,7/2/2008,N,MultiOb,2,3,2008,Statendam,Karin,Starboard,n,humpback whale,1,n,0,58.32251265,-135.885711,58.32251265,-135.885711,7/2/2008,7/2/2008,343,7/2/2008,6:19:29,7/2/2008,20080702,06:19:29,35314,286.5530521,448118.8041,6464958.679,12.92187384,448105.2938,6464960.608,447572.7303,6465356.882,126.6525406,663.8203812,20.09948844,Lower Bay,Outside,Outside,-42,5752.273626,-29,5913.304879,,,,,,,7,1,A-Away,9-Perpendicular,BL-Blowing,40,none,light,calm,excellent,
639,2009-08-19-K,2009-08-19-K-083,2009-08-19-K-083,8/19/2009,Y,Single,1,1,2009,Zuiderdam,Karin,Port,y,humpback whale,1,n,0,58.32122183,-136.0950921,58.32122183,-136.0950921,8/19/2009,8/19/2009,1929,8/19/2009,16:56:35,8/19/2009,20090819,16:56:35,133512,246.2534425,435852.4179,6464995.4,21.5612616,435838.5232,6464991.473,435734.0273,6464002.547,186.0318396,994.4314894,-60.22160285,West Icy,Outside,Outside,-118,2026.512839,-102,1030.356109,,,,,,,8,1,U-Unsure,U-Unsure,SA-Surface-active,100,moderate,light,calm,poor,
640,2009-07-01-K,2009-07-01-K-019,2009-07-01-K-018,7/1/2009,N,MultiOb,2,2,2009,Zuiderdam,Karin,Starboard,n,humpback whale,1,n,0,58.32278347,-135.9190417,58.32278347,-135.9190417,7/1/2009,7/1/2009,946,7/1/2009,6:21:11,7/1/2009,20090701,06:21:11,64979,305.5182358,446166.9165,6465014.999,15.09625964,446154.1154,6465021.679,445720.7538,6465302.531,302.9464076,516.4110204,-2.571828126,Lower Bay,Outside,Outside,-39,6215.669755,-39,5970.518457,,,,,,,7,1,A-Away,90-Perpendicular,DF-Dive-fluke-up,100,none,light,calm,excellent,
641,2008-07-07-K,2008-07-07-K-022,2008-07-07-K-018,7/7/2008,Y,MultiOb,1,3,2008,Amsterdam,Karin,Port,n,humpback whale,1,n,0,58.32283141,-135.9132304,58.32283141,-135.9132304,7/7/2008,7/7/2008,479,7/7/2008,6:24:44,7/7/2008,20080707,06:24:44,44374,291.223884,446507.3771,6465015.704,12.34602395,446493.9321,6465023.071,446369.7165,6464812.38,30.5220466,244.5814746,-80.7018374,Lower Bay,Outside,Outside,-37,6205.868061,-39,6410.578148,,,,,,,7,1,G-Against,0-Parallel,BL-Blowing,90,none,moderate,calm,excellent,
642,2010-07-19-K,2010-07-19-K-028,2010-07-19-K-028,7/19/2010,N,MultiOb,4,1,2010,Zaandam,Karin,Starboard,y,humpback whale,1,n,0,58.32292805,0,58.32292805,-135.9021009,7/19/2010,7/19/2010,27,7/19/2010,6:18:20,7/19/2010,20100719,06:18:20,1469,295.9728022,447159.4088,6465017.674,9.801345269,447144.8681,6465022.532,446464.4872,6465736.603,316.383978,986.3136037,20.41117576,Lower Bay,Outside,Outside,-33,6219.369407,-37,5485.103487,,,,,,,7,1,T-Toward,90-Perpendicular,BL-Blowing,100,none,light,calm,excellent,
643,2008-07-02-K,2008-07-02-K-023,2008-07-02-K-020,7/2/2008,Y,MultiOb,1,4,2008,Statendam,Karin,Starboard,n,humpback whale,1,n,0,58.32308982,-135.8896796,58.32308982,-135.8896796,7/2/2008,7/2/2008,344,7/2/2008,6:20:05,7/2/2008,20080702,06:20:05,35322,285.9673659,447887.1991,6465026.002,12.95640911,447873.6698,6465027.793,447536.0872,6465190.475,115.7295435,374.736405,9.762177598,Lower Bay,Outside,Outside,-40,5950.563893,-29,6074.694897,,,,,,,7,1,A-Away,9-Perpendicular,BL-Blowing,40,none,light,calm,excellent,
644,2009-08-26-K,2009-08-26-K-006,2009-08-26-K-006,8/26/2009,Y,Single,1,1,2009,Zuiderdam,Karin,Starboard,y,humpback whale,1,n,0,58.32311782,-135.8934857,58.32311782,-135.8934857,8/26/2009,8/26/2009,1941,8/26/2009,6:15:23,8/26/2009,20090826,06:15:23,134521,293.9393774,447664.3046,6465032.072,13.60259914,447650.4232,6465036.046,445672.5918,6464850.812,264.6495471,1986.486566,-29.28983031,Lower Bay,Outside,Outside,-32,6100.077806,-42,6419.542657,,,,,,,8,1,GA-Ag/Away,45-45-degrees,DF-Dive-fluke-up,100,light,light,calm,excellent,
645,2009-06-28-K,2009-06-28-K-018,2009-06-28-K-018,6/28/2009,N,MultiOb,2,1,2009,Volendam,Karin,Starboard,y,humpback whale,1,n,0,58.32319242,-135.907617,58.32319242,-135.907617,6/28/2009,6/28/2009,866,6/28/2009,6:22:46,6/28/2009,20090628,06:22:46,58746,292.6813077,446836.7148,6465051.449,18.95799013,446828.7376,6465052.616,446525.9962,6465895.958,340.2529727,896.0349517,47.57166505,Lower Bay,Outside,Outside,-37,6172.204716,-34,5325.628124,,,,,,,6,1,W-With,0-Parallel,BL-Blowing,30,none,light,1',excellent,
646,2008-08-06-K,2008-08-06-K-079,2008-08-06-K-076,8/6/2008,Y,MultiOb,1,4,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,58.3232733,-135.9304389,58.3232733,-135.9304389,8/6/2008,8/6/2008,1142,8/6/2008,16:35:21,8/6/2008,20080806,16:35:21,93071,116.093616,445500.1074,6465078.702,15.56950535,445513.1111,6465074.561,445274.3063,6465275.681,130.1039594,312.2134545,-165.9896566,Lower Bay,Outside,Outside,-42,6224.212177,-43,6071.534103,,,,,,,8,1,A-Away,9-Perpendicular,BL-Blowing,60,none,light,3',excellent,
