OBJECTID,Event_ID,EvB_Wpt_Id,SwB_Wpt_ID,Event_Date,CPA,ObType,ObOrder,ObOrder2,Year_,Ship,Observer,ObLocation,Approx,Species,Count_,IS_WW,WW_Speed,LAT,LONG_,Y_PROJ,X_PROJ,NDateS,NDateD,WptID,DateD,TimeD,DateTim,DateTxt,TimeTxt,TrkID,Vessel_Azi,X_GPS_UTM,Y_GPS_UTM,Vessel_Kts,X_BB_UTM,Y_BB_UTM,X_MM_UTM,Y_MM_UTM,BB_MM_Azi,BB_MM_Dist,BB_MM_Bear,Subarea1,Subarea2,Subarea3,VslDepth_m,VslDstSh_m,MMDepth_m,MMDstSh_m,RadComment,RadContact,RadioBy,RadioResp,RadioTime,R_Contact,Month_,season,Direction,Orientation,Behavior,Clouds,Rain,Wind,SeaState,Visibility,Shape
1,2013-09-26-N,2013-09-26-N-004,2013-09-26-N-004,9/26/2013,N,MultiOb,2,1,2013,Statendam,Nat,Starboard,y,humpback whale,2,n,0,,-136.5210273,58.83536945,-136.5210273,9/26/2013,9/26/2013,4,9/26/2013,9:06:37,9/26/2013,20130926,09:06:37,7083,308.880431,412201.4818,6522717.843,17.82715654,412188.9388,6522725.388,409087.6722,6525228.616,308.9091833,3985.473857,0.028752306,West Arm,West Arm,West Arm,-429,1889.959313,-423,2084.796791,,,,,,y,9,0,GT-Ag/To,45-45-degrees,BL-Blowing,100,none,moderate,1',good,
2,2013-09-26-N,2013-09-26-N-005,2013-09-26-N-004,9/26/2013,Y,MultiOb,1,2,2013,Statendam,Nat,Starboard,y,humpback whale,2,n,0,,-136.551986,58.84762103,-136.551986,9/26/2013,9/26/2013,5,9/26/2013,9:10:42,9/26/2013,20130926,09:10:42,7132,304.4833953,410446.2704,6524122.81,17.72815627,410433.1859,6524129.37,408797.7337,6525255.114,304.541111,1985.447717,0.057715737,West Arm,West Arm,West Arm,-420,1826.097669,-421,2034.494196,,,,,,n,9,0,A-Away,90-Perpendicular,DF-Dive-fluke-up,100,none,moderate,1',good,
3,2013-09-26-N,2013-09-26-N-015,2013-09-26-N-015,9/26/2013,N,MultiOb,4,1,2013,Statendam,Nat,Starboard,y,humpback whale,1,n,0,,-136.3793361,58.78143635,-136.3793361,9/26/2013,9/26/2013,15,9/26/2013,14:14:39,9/26/2013,20130926,14:14:39,10779,125.3783221,420255.8927,6516536.19,16.28836452,420268.8732,6516529.425,422130.6704,6515839.774,110.3257706,1985.423982,-15.05255151,Middle Bay,West Arm,West Arm,-340,2242.265131,-414,1401.722306,,,,,,n,9,0,U-Unsure,U-Unsure,BL-Blowing,95,moderate,strong,1',good,
4,2013-09-26-N,2013-09-26-N-016,2013-09-26-N-015,9/26/2013,N,MultiOb,3,2,2013,Statendam,Nat,Starboard,y,humpback whale,1,n,0,,-136.3708091,58.77846873,-136.3708091,9/26/2013,9/26/2013,16,9/26/2013,14:15:50,9/26/2013,20130926,14:15:50,10793,124.7625161,420742.0673,6516195.681,16.31086722,420755.1197,6516189.056,421683.0692,6515857.594,109.6566301,985.3715344,-15.10588603,Middle Bay,West Arm,West Arm,-320,2242.164458,-290,1764.90562,,,,,,n,9,0,T-Toward,90-Perpendicular,BL-Blowing,95,moderate,strong,1',good,
5,2013-09-26-N,2013-09-26-N-017,2013-09-26-N-015,9/26/2013,N,MultiOb,2,3,2013,Statendam,Nat,Starboard,n,humpback whale,1,n,0,,-136.3656321,58.77668079,-136.3656321,9/26/2013,9/26/2013,17,9/26/2013,14:16:33,9/26/2013,20130926,14:16:33,10802,124.9831181,421037.3037,6515990.512,16.28262708,421050.3305,6515983.837,421632.0346,6515774.246,109.8143726,618.3107238,-15.16874553,Middle Bay,West Arm,West Arm,-255,2234.816526,-290,1852.882647,,,,,,n,9,0,T-Toward,90-Perpendicular,BL-Blowing,95,moderate,strong,1',good,
6,2008-07-02-K,2008-07-02-K-135,2008-07-02-K-130,7/2/2008,Y,MultiOb,1,4,2008,Statendam,Karin,Starboard,n,humpback whale,2,n,0,57.09599211,-134.6909357,57.09599211,-134.6909357,7/2/2008,7/2/2008,456,7/2/2008,21:25:15,7/2/2008,20080702,21:25:15,42848,171.7121849,518726.5971,6328113.802,18.85916993,518730.5222,6328100.731,518794.1633,6327818.792,347.2799913,289.0323665,-4.432193656,Chatham,Outside,Outside,-642,3838.204357,-644,3875.312585,,,,,,,7,1,W-With,0-Parallel,DF-Dive-fluke-up,80,none,moderate,1',good,
7,2008-07-02-K,2008-07-02-K-134,2008-07-02-K-130,7/2/2008,N,MultiOb,2,3,2008,Statendam,Karin,Starboard,n,humpback whale,2,n,0,57.10335016,-134.6926357,57.10335016,-134.6926357,7/2/2008,7/2/2008,455,7/2/2008,21:23:48,7/2/2008,20080702,21:23:48,42831,173.1777018,518619.9025,6328932.409,17.17591217,518623.492,6328919.242,518225.7195,6328429.689,39.09459095,630.7816369,45.91688914,Chatham,Outside,Outside,-633,3779.207609,-638,4243.560822,,,,,,,7,1,W/A-Wi/Aw,4-45-degrees,DF-Dive-fluke-up,80,none,moderate,1',good,
8,2008-07-02-K,2008-07-02-K-133,2008-07-02-K-130,7/2/2008,N,MultiOb,3,2,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.11119579,-134.69425,57.11119579,-134.69425,7/2/2008,7/2/2008,454,7/2/2008,21:22:17,7/2/2008,20080702,21:22:17,42813,173.9473676,518518.1976,6329805.318,18.60678882,518521.6099,6329792.105,517367.5044,6328843.19,50.57267789,1494.121575,56.62531027,Chatham,Outside,Outside,-619,3900.179344,-621,3648.114286,,,,,,,7,1,T-Toward,9-Perpendicular,BL-Blowing,80,none,moderate,1',good,
9,2008-07-16-K,2008-07-16-K-122,2008-07-16-K-119,7/16/2008,Y,MultiOb,1,3,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.11638092,-134.6908905,57.11638092,-134.6908905,7/16/2008,7/16/2008,800,7/16/2008,21:38:10,7/16/2008,20080716,21:38:10,67604,175.363311,518719.0531,6330383.427,18.95337147,518722.1379,6330370.133,519256.3736,6329448.998,329.8873125,1064.8461,-25.47599851,Chatham,Outside,Outside,-605,3826.162155,-618,3131.118847,,,,,,,7,1,G-Against,0-Parallel,DF-Dive-fluke-up,100,none,light,calm,excellent,
10,2008-07-02-K,2008-07-02-K-132,2008-07-02-K-131,7/2/2008,Y,MultiOb,1,2,2008,Statendam,Karin,Starboard,n,humpback whale,1,n,0,57.11677948,-134.6952853,57.11677948,-134.6952853,7/2/2008,7/2/2008,453,7/2/2008,21:21:13,7/2/2008,20080702,21:21:13,42800,173.2937878,518452.7157,6330426.596,18.72896591,518456.2785,6330413.422,518509.1597,6329598.646,356.2865585,816.4900135,2.992770722,Chatham,Outside,Outside,-613,4093.797016,-619,3886.820788,,,,,,,7,1,A-Away,9-Perpendicular,DF-Dive-fluke-up,80,none,moderate,1',good,
11,2008-07-16-K,2008-07-16-K-121,2008-07-16-K-119,7/16/2008,N,MultiOb,2,2,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.12056743,-134.6915108,57.12056743,-134.6915108,7/16/2008,7/16/2008,799,7/16/2008,21:37:22,7/16/2008,20080716,21:37:22,67594,174.992873,518679.3843,6330849.286,18.64549323,518682.5549,6330836.012,518572.719,6329654.125,5.309399952,1186.979587,10.31652693,Chatham,Outside,Outside,-607,4003.227199,-619,3828.484094,,,,,,,7,1,A-Away,9-Perpendicular,DF-Dive-fluke-up,100,none,light,calm,excellent,
12,2008-07-16-K,2008-07-16-K-120,2008-07-16-K-117,7/16/2008,Y,MultiOb,1,3,2008,Statendam,Karin,Starboard,n,humpback whale,2,n,0,57.12430391,-134.6920926,57.12430391,-134.6920926,7/16/2008,7/16/2008,798,7/16/2008,21:36:39,7/16/2008,20080716,21:36:39,67585,175.0827216,518642.2743,6331265.06,19.15091808,518645.4241,6331251.781,518164.9835,6330290.788,26.56238931,1074.397684,31.47966776,Chatham,Outside,Outside,-612,3946.054619,-613,4337.165921,,,,,,,7,1,A-Away,9-Perpendicular,DF-Dive-fluke-up,100,none,light,calm,excellent,
13,2008-07-02-K,2008-07-02-K-131,2008-07-02-K-131,7/2/2008,N,MultiOb,2,1,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.12496684,-134.6969622,57.12496684,-134.6969622,7/2/2008,7/2/2008,452,7/2/2008,21:19:38,7/2/2008,20080702,21:19:38,42781,174.0048524,518347.1204,6331337.535,18.63867958,518350.5195,6331324.318,516839.1261,6329343.609,37.3456919,2491.488726,43.34083949,Chatham,Outside,Outside,-615,4217.462886,-605,3376.338581,,,,,,,7,1,W/A-Wi/Aw,4-45-degrees,DF-Dive-fluke-up,80,none,moderate,1',good,
14,2008-07-16-K,2008-07-16-K-119,2008-07-16-K-119,7/16/2008,N,MultiOb,3,1,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.13054039,-134.6929784,57.13054039,-134.6929784,7/16/2008,7/16/2008,797,7/16/2008,21:35:29,7/16/2008,20080716,21:35:29,67571,175.4407902,518585.5193,6331959.044,19.32165464,518588.5861,6331945.746,516693.5143,6329630.932,39.30621023,2991.597889,43.86542002,Chatham,Outside,Outside,-621,3895.236671,-607,3342.193392,,,,,,,7,1,T-Toward,9-Perpendicular,DF-Dive-fluke-up,100,none,light,calm,excellent,
15,2008-07-16-K,2008-07-16-K-118,2008-07-16-K-117,7/16/2008,N,MultiOb,2,2,2008,Statendam,Karin,Starboard,y,humpback whale,2,n,0,57.13673478,-134.6939015,57.13673478,-134.6939015,7/16/2008,7/16/2008,796,7/16/2008,21:34:19,7/16/2008,20080716,21:34:19,67557,175.4077265,518526.5504,6332648.334,19.38565408,518529.6249,6332635.038,515047.0013,6329057.718,44.23152942,4992.582799,48.82380292,Chatham,Outside,Outside,-624,3969.563489,-615,1675.09067,,,,,,,7,1,T-Toward,9-Perpendicular,DF-Dive-fluke-up,100,none,light,calm,excellent,
16,2008-07-02-K,2008-07-02-K-130,2008-07-02-K-130,7/2/2008,N,MultiOb,4,1,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.14000707,-134.6999301,57.14000707,-134.6999301,7/2/2008,7/2/2008,451,7/2/2008,21:16:43,7/2/2008,20080702,21:16:43,42746,173.61663,518160.0647,6333010.975,19.36147457,518163.5532,6332997.781,514059.3228,6330150.258,55.24701,4995.307398,61.63037997,Chatham,Outside,Outside,-633,4385.194107,-529,1080.761986,,,,,,,7,1,W/A-Wi/Aw,4-45-degrees,DF-Dive-fluke-up,80,none,moderate,1',good,
17,2008-06-15-K,2008-06-15-K-087,2008-06-15-K-087,6/15/2008,Y,Single,1,1,2008,Ryndam,Karin,Starboard,y,humpback whale,1,n,0,57.1447203,-134.7097011,57.1447203,-134.7097011,6/15/2008,6/15/2008,158,6/15/2008,21:32:05,6/15/2008,20080615,21:32:05,16838,176.0840537,517566.5012,6333533.08,17.38918508,517569.4185,6333519.748,519282.5853,6334560.135,238.7301584,2004.331724,-117.3538953,Chatham,Outside,Outside,-643,4907.863172,-675,3621.935557,,,,,,,6,1,W-With,0-Parallel,DF-Dive-fluke-up,100,none,moderate,1',excellent,
18,2008-07-16-K,2008-07-16-K-117,2008-07-16-K-117,7/16/2008,N,MultiOb,3,1,2008,Statendam,Karin,Starboard,y,humpback whale,3,n,0,57.15013174,-134.6958681,57.15013174,-134.6958681,7/16/2008,7/16/2008,795,7/16/2008,21:31:49,7/16/2008,20080716,21:31:49,67527,175.4598116,518400.8706,6334139.115,19.38715845,518403.933,6334125.815,513273.0815,6329374.079,47.19689918,6993.184961,51.73708753,Chatham,Outside,Outside,-656,4503.264664,214748364,0,,,,,,,7,1,T-Toward,9-Perpendicular,DF-Dive-fluke-up,100,none,light,calm,excellent,
19,2008-08-06-K,2008-08-06-K-108,2008-08-06-K-104,8/6/2008,Y,MultiOb,1,5,2008,Statendam,Karin,Starboard,n,humpback whale,1,n,0,57.16229883,-134.7020409,57.16229883,-134.7020409,8/6/2008,8/6/2008,1171,8/6/2008,21:08:17,8/6/2008,20080806,21:08:17,96346,173.1136505,518021.4789,6335491.876,20.7184157,518025.0831,6335478.713,517923.7181,6334993.585,11.80186467,495.6046623,18.68821413,Chatham,Outside,Outside,-688,4364.252473,-667,4615.883596,,,,,,,8,1,W/A-Wi/Aw,4-45-degrees,LF-Lunge-feed,60,none,light,3',excellent,
20,2008-08-06-K,2008-08-06-K-107,2008-08-06-K-104,8/6/2008,N,MultiOb,2,4,2008,Statendam,Karin,Starboard,n,humpback whale,1,n,0,57.16575603,-134.7027896,57.16575603,-134.7027896,8/6/2008,8/6/2008,1170,8/6/2008,21:07:40,8/6/2008,20080806,21:07:40,96339,173.2038179,517974.5192,6335876.526,20.67120149,517978.1027,6335863.357,517546.9957,6335220.706,33.85472612,773.8564975,40.65090821,Chatham,Outside,Outside,-688,4322.041135,-664,4896.312029,,,,,,,8,1,T-Toward,9-Perpendicular,LF-Lunge-feed,60,none,light,3',excellent,
21,2008-08-06-K,2008-08-06-K-106,2008-08-06-K-104,8/6/2008,N,MultiOb,3,3,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.17607759,-134.7049501,57.17607759,-134.7049501,8/6/2008,8/6/2008,1169,8/6/2008,21:05:51,8/6/2008,20080806,21:05:51,96317,173.2109786,517838.8852,6337024.932,20.52782708,517842.4671,6337011.763,516422.2433,6335613.226,45.4408176,1993.223586,52.22983896,Chatham,Outside,Outside,-724,4396.826889,-624,4149.751975,,,,,,,8,1,T-Toward,9-Perpendicular,LF-Lunge-feed,60,none,light,3',excellent,
22,2008-08-06-K,2008-08-06-K-105,2008-08-06-K-104,8/6/2008,N,MultiOb,4,2,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.18283726,-134.706419,57.18283726,-134.706419,8/6/2008,8/6/2008,1168,8/6/2008,21:04:39,8/6/2008,20080806,21:04:39,96302,172.9347528,517746.8384,6337777.021,20.29310357,517750.4837,6337763.869,515585.2107,6335696.84,46.32975796,2993.495903,53.39500517,Chatham,Outside,Outside,-748,4409.606076,-605,3328.920853,,,,,,,8,1,T-Toward,9-Perpendicular,LF-Lunge-feed,60,none,light,3',excellent,
23,2008-07-13-K,2008-07-13-K-120,2008-07-13-K-120,7/13/2008,Y,Single,1,1,2008,Ryndam,Karin,Starboard,y,humpback whale,2,n,0,57.18550472,-134.7228929,57.18550472,-134.7228929,7/13/2008,7/13/2008,676,7/13/2008,21:27:38,7/13/2008,20080713,21:27:38,58195,180.9938669,516749.7962,6338069.789,19.38665019,516751.5617,6338056.257,518227.3902,6338327.671,259.5793865,1500.578302,-101.4144804,Chatham,Outside,Outside,-644,5063.11558,-803,3941.138302,,,,,,,7,1,W/A-Wi/Aw,4-45-degrees,DF-Dive-fluke-up,90,none,light,1',excellent,
24,2008-08-06-K,2008-08-06-K-104,2008-08-06-K-104,8/6/2008,N,MultiOb,5,1,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.19209423,-134.7083542,57.19209423,-134.7083542,8/6/2008,8/6/2008,1167,8/6/2008,21:02:59,8/6/2008,20080806,21:02:59,96282,172.9270704,517625.4478,6338806.987,20.24552208,517629.0949,6338793.836,514512.4959,6336295.151,51.27965006,3994.572955,58.35257962,Chatham,Outside,Outside,-683,4303.258771,-595,2370.627285,,,,,,,8,1,U-Unsure,U - Unsure,DF-Dive-fluke-up,60,none,light,3',excellent,
25,2008-06-18-K,2008-06-18-K-082,2008-06-18-K-082,6/18/2008,Y,Single,1,1,2008,Statendam,Karin,Port,y,humpback whale,1,n,0,57.19237536,-134.7059696,57.19237536,-134.7059696,6/18/2008,6/18/2008,241,6/18/2008,20:43:36,6/18/2008,20080618,20:43:36,25852,172.2759842,517769.4218,6338838.901,17.77908763,517769.2544,6338825.254,517522.7719,6338524.337,39.32096984,388.9797015,47.04498568,Chatham,Outside,Outside,-720,4156.965249,-688,4500.820996,,,,,,,6,1,G-Against,0-Parallel,DF-Dive-fluke-up,80,none,moderate,1',excellent,
26,2008-07-13-K,2008-07-13-K-119,2008-07-13-K-116,7/13/2008,Y,MultiOb,1,4,2008,Ryndam,Karin,Starboard,n,humpback whale,1,n,0,57.19601621,-134.7233128,57.19601621,-134.7233128,7/13/2008,7/13/2008,675,7/13/2008,21:25:40,7/13/2008,20080713,21:25:40,58172,176.6541236,516719.6643,6339239.806,19.35091243,516722.4488,6339226.446,516636.0306,6338717.663,9.639857121,516.0696793,12.98573354,Chatham,Outside,Outside,-664,5061.513263,-651,5113.756638,,,,,,,7,1,W/T-Wit/To,4-45-degrees,DF-Dive-fluke-up,90,none,light,1',excellent,
27,2008-07-13-K,2008-07-13-K-118,2008-07-13-K-116,7/13/2008,N,MultiOb,2,3,2008,Ryndam,Karin,Starboard,n,humpback whale,1,n,0,57.19750735,-134.7234481,57.19750735,-134.7234481,7/13/2008,7/13/2008,674,7/13/2008,21:25:23,7/13/2008,20080713,21:25:23,58168,176.8252406,516710.8161,6339405.764,19.31040296,516713.5607,6339392.396,516685.9774,6338728.377,2.378691022,664.5916784,5.553450374,Chatham,Outside,Outside,-664,5039.697563,-651,5164.566627,,,,,,,7,1,W/T-Wit/To,4-45-degrees,BL-Blowing,90,none,light,1',excellent,
28,2008-07-13-K,2008-07-13-K-117,2008-07-13-K-116,7/13/2008,N,MultiOb,3,2,2008,Ryndam,Karin,Starboard,y,humpback whale,1,n,0,57.20120243,-134.7238277,57.20120243,-134.7238277,7/13/2008,7/13/2008,673,7/13/2008,21:24:42,7/13/2008,20080713,21:24:42,58160,176.0409167,516686.2109,6339817.002,19.23374267,516689.1382,6339803.672,516788.9925,6338822.405,354.1895523,986.3346264,-1.851364422,Chatham,Outside,Outside,-681,5004.679289,-651,5094.579181,,,,,,,7,1,W/T-Wit/To,4-45-degrees,BL-Blowing,90,none,light,1',excellent,
29,2008-08-06-K,2008-08-06-K-103,2008-08-06-K-103,8/6/2008,Y,Single,1,1,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.21095083,-134.7123733,57.21095083,-134.7123733,8/6/2008,8/6/2008,1166,8/6/2008,20:59:37,8/6/2008,20080806,20:59:37,96242,173.5057109,517373.6971,6340905.041,20.41253503,517377.2112,6340891.853,517596.9234,6339930.383,347.1279635,986.254679,-6.377747474,Chatham,Outside,Outside,-703,4172.316846,-694,4087.052214,,,,,,,8,1,W-With,0-Parallel,DF-Dive-fluke-up,60,none,light,3',excellent,
30,2008-07-13-K,2008-07-13-K-116,2008-07-13-K-116,7/13/2008,N,MultiOb,4,1,2008,Ryndam,Karin,Starboard,y,humpback whale,1,n,0,57.21860971,-134.7260131,57.21860971,-134.7260131,7/13/2008,7/13/2008,672,7/13/2008,21:21:26,7/13/2008,20080713,21:21:26,58121,175.6337324,516546.3799,6341754.222,19.337174,516549.4019,6341740.914,517259.8369,6339885.863,339.04449,1986.436675,-16.5892424,Chatham,Outside,Outside,-690,4920.040811,-672,4427.05383,,,,,,,7,1,T-Toward,9-Perpendicular,DF-Dive-fluke-up,90,none,light,1',excellent,
31,2008-08-06-K,2008-08-06-K-102,2008-08-06-K-098,8/6/2008,Y,MultiOb,1,5,2008,Statendam,Karin,Starboard,n,humpback whale,1,n,0,57.27660838,-134.7221905,57.27660838,-134.7221905,8/6/2008,8/6/2008,1165,8/6/2008,20:48:01,8/6/2008,20080806,20:48:01,96103,174.5939967,516750.8998,6348211.523,20.55375215,516754.1628,6348198.272,516562.5098,6348054.005,53.02936018,239.8828732,58.43536348,Chatham,Outside,Outside,-812,5648.904652,-812,5586.49691,,,,,,,8,1,A-Away,9-Perpendicular,DF-Dive-fluke-up,60,none,light,3',excellent,
32,2008-08-06-K,2008-08-06-K-101,2008-08-06-K-098,8/6/2008,N,MultiOb,2,4,2008,Statendam,Karin,Starboard,n,humpback whale,1,n,0,57.28069288,-134.7228618,57.28069288,-134.7228618,8/6/2008,8/6/2008,1164,8/6/2008,20:47:18,8/6/2008,20080806,20:47:18,96094,174.9823701,516708.5726,6348666.044,20.56333333,516711.7457,6348652.77,516160.0217,6348283.369,56.19612361,663.9702865,61.21375356,Chatham,Outside,Outside,-810,5370.172806,-781,5126.915131,,,,,,,8,1,W-With,0-Parallel,DF-Dive-fluke-up,60,none,light,3',excellent,
33,2008-08-06-K,2008-08-06-K-100,2008-08-06-K-098,8/6/2008,N,MultiOb,3,3,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.28398722,-134.7233657,57.28398722,-134.7233657,8/6/2008,8/6/2008,1163,8/6/2008,20:46:43,8/6/2008,20080806,20:46:43,96087,174.96471,516676.7067,6349032.646,20.51143057,516679.8839,6349019.373,515856.6422,6348460.561,55.83152448,994.9865415,60.86681444,Chatham,Outside,Outside,-810,5165.852969,-814,4778.333845,,,,,,,8,1,A-Away,9-Perpendicular,LF-Lunge-feed,60,none,light,3',excellent,
34,2008-06-11-K,2008-06-11-K-070,2008-06-11-K-070,6/11/2008,Y,Single,1,1,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.28798647,-134.7236241,57.28798647,-134.7236241,6/11/2008,6/11/2008,69,6/11/2008,19:42:53,6/11/2008,20080611,19:42:53,7790,176.5650692,516659.3218,6349477.779,19.81635979,516662.1271,6349464.423,514726.6211,6348963.527,75.49056372,1999.269849,78.92549452,Chatham,Outside,Outside,-811,4954.264678,-419,3588.805825,,,,,,,6,1,T-Toward,9-Perpendicular,BL-Blowing,75,none,moderate,1',excellent,
35,2008-08-06-K,2008-08-06-K-099,2008-08-06-K-098,8/6/2008,N,MultiOb,4,2,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.29071302,-134.7244788,57.29071302,-134.7244788,8/6/2008,8/6/2008,1162,8/6/2008,20:45:32,8/6/2008,20080806,20:45:32,96073,174.0115615,516606.5739,6349781.089,20.37328935,516609.9714,6349767.872,514507.56,6348423.176,57.39715445,2495.664046,63.38559299,Chatham,Outside,Outside,-814,4777.779775,-425,3701.414956,,,,,,,8,1,A-Away,9-Perpendicular,DF-Dive-fluke-up,60,none,light,3',excellent,
36,2008-08-06-K,2008-08-06-K-098,2008-08-06-K-098,8/6/2008,N,MultiOb,5,1,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.29727563,-134.7255845,57.29727563,-134.7255845,8/6/2008,8/6/2008,1161,8/6/2008,20:44:22,8/6/2008,20080806,20:44:22,96059,174.1012099,516536.9887,6350511.37,20.44463428,516540.3655,6350498.147,514018.1589,6348881.866,57.34742845,2995.645274,63.24621858,Chatham,Outside,Outside,-829,4466.797037,-395,3057.887333,,,,,,,8,1,A-Away,9-Perpendicular,DF-Dive-fluke-up,60,none,light,3',excellent,
37,2010-07-25-K,2010-07-25-K-101,2010-07-25-K-101,7/25/2010,Y,Single,1,1,2010,Volendam,Karin,Port,y,humpback whale,1,n,0,57.33273938,0,57.33273938,-134.7251664,7/25/2010,7/25/2010,210,7/25/2010,21:27:08,7/25/2010,20100725,21:27:08,15060,175.6680843,516546.2454,6354459.312,19.1873969,516544.841,6354451.373,515088.5537,6352428.333,215.74826,2492.682216,40.08017567,Chatham,Outside,Outside,-748,4269.150203,-732,2948.150024,,,,,,,7,1,G-Against,0-Parallel,DF-Dive-fluke-up,100,none,light,2',excellent,
38,2008-08-06-K,2008-08-06-K-097,2008-08-06-K-092,8/6/2008,Y,MultiOb,1,6,2008,Statendam,Karin,Starboard,n,humpback whale,1,n,0,57.39205493,-134.7431069,57.39205493,-134.7431069,8/6/2008,8/6/2008,1160,8/6/2008,20:27:42,8/6/2008,20080806,20:27:42,95859,174.0575559,515441.214,6361058.179,20.5123534,515444.6009,6361044.958,515352.731,6360850.733,25.31449481,214.8567752,31.25693887,Chatham,Outside,Outside,-602,4969.699118,-602,4921.971381,,,,,,,8,1,G-Against,0-Parallel,BL-Blowing,60,none,light,3',excellent,
39,2008-08-06-K,2008-08-06-K-096,2008-08-06-K-092,8/6/2008,N,MultiOb,2,5,2008,Statendam,Karin,Starboard,n,humpback whale,1,n,0,57.39463328,-134.7435918,57.39463328,-134.7435918,8/6/2008,8/6/2008,1159,8/6/2008,20:27:14,8/6/2008,20080806,20:27:14,95853,174.256486,515410.9865,6361345.096,20.62199244,515414.3275,6361331.863,515055.8242,6360965.561,44.38348621,512.5448311,50.12700019,Chatham,Outside,Outside,-394,4899.888753,-652,4607.804746,,,,,,,8,1,T-Toward,9-Perpendicular,LF-Lunge-feed,60,none,light,3',excellent,
40,2008-08-06-K,2008-08-06-K-095,2008-08-06-K-092,8/6/2008,N,MultiOb,3,4,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.39788362,-134.744156,57.39788362,-134.744156,8/6/2008,8/6/2008,1158,8/6/2008,20:26:40,8/6/2008,20080806,20:26:40,95847,174.2751834,515375.7164,6361706.802,20.53516934,515379.0531,6361693.569,514259.302,6360705.101,48.56331741,1493.623754,54.28813402,Chatham,Outside,Outside,-346,4837.865869,-634,3864.870457,,,,,,,8,1,T-Toward,9-Perpendicular,DF-Dive-fluke-up,60,none,light,3',excellent,
41,2008-08-06-K,2008-08-06-K-094,2008-08-06-K-092,8/6/2008,N,MultiOb,4,3,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.40635429,-134.7456634,57.40635429,-134.7456634,8/6/2008,8/6/2008,1157,8/6/2008,20:25:11,8/6/2008,20080806,20:25:11,95829,174.5864879,515281.5978,6362649.435,20.80731161,515284.8625,6362636.183,512882.5722,6360848.195,53.34024865,2994.64531,58.75376073,Chatham,Outside,Outside,-627,4615.149105,214748364,2548.764549,,,,,,,8,1,A-Away,9-Perpendicular,DF-Dive-fluke-up,60,none,light,3',excellent,
42,2008-08-06-K,2008-08-06-K-093,2008-08-06-K-092,8/6/2008,N,MultiOb,5,2,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.41493333,-134.7471866,57.41493333,-134.7471866,8/6/2008,8/6/2008,1156,8/6/2008,20:23:42,8/6/2008,20080806,20:23:42,95811,174.5009988,515186.5249,6363604.131,20.83562493,515189.8094,6363590.885,511946.3799,6361258.657,54.28151494,3994.886753,59.78051612,Chatham,Outside,Outside,-499,4505.753883,214748364,1531.250091,,,,,,,8,1,W/A-Wi/Aw,4-45-degrees,DF-Dive-fluke-up,60,none,light,3',excellent,
43,2008-08-06-K,2008-08-06-K-092,2008-08-06-K-092,8/6/2008,N,MultiOb,6,1,2008,Statendam,Karin,Starboard,y,humpback whale,1,n,0,57.43550026,-134.750919,57.43550026,-134.750919,8/6/2008,8/6/2008,1155,8/6/2008,20:20:09,8/6/2008,20080806,20:20:09,95768,173.9815604,514953.9334,6365892.865,21.07124817,514957.3378,6365879.649,510803.8897,6363104.152,56.24759272,4995.449878,62.2660323,Chatham,Outside,Outside,-209,5034.373991,214748364,136.5903651,,,,,,,8,1,U-Unsure,U - Unsure,BL-Blowing,60,none,light,3',excellent,
44,2008-07-18-N,2008-07-18-N-019,2008-07-18-N-019,7/18/2008,Y,Single,1,1,2008,Volendam,Nat,Starboard,y,humpback whale,1,y,13,58.49141973,-136.0555249,58.49141973,-136.0555249,7/18/2008,7/18/2008,1769,7/18/2008,16:07:05,7/18/2008,20080718,16:07:05,279987,163.6398175,438467.4101,6483906.805,14.55441556,438471.529,6483899.875,436967.5745,6482860.505,55.35199908,1828.159722,71.71218154,Lower Bay,Lower Bay,Lower Bay,-92,2326.569075,-30,628.5122842,,,,,,,7,1,G-Against,0-Parallel,BL-Blowing,100,moderate,moderate,1',poor,
