SwB_Wpt_ID,x,y,turn.angle,heading,dist
2008-09-15-K-051,439023.6191,6480266.865,NA,NA,NA
2008-09-15-K-061,442157.0702,6476430.745,NA,NA,NA
2008-09-21-N-003,443207.1886,6482829.385,NA,NA,NA
2008-09-21-N-005,440690.2774,6484544.981,NA,NA,NA
2008-09-21-N-011,441911.7518,6490012.648,NA,NA,NA
2009-05-18-K-013,452140.1527,6463533.284,NA,NA,NA
2009-05-18-K-016,443409.8963,6470947.391,NA,NA,NA
2009-05-18-K-063,442132.4734,6471733.146,NA,NA,NA
2009-05-18-K-077,441165.9526,6468973.723,NA,NA,NA
2009-05-24-K-069,442680.3662,6472576.959,NA,NA,NA
2009-05-27-K-074,441700.8544,6475090.227,NA,NA,NA
2009-06-01-K-012,455397.1766,6464505.923,NA,NA,NA
2009-06-01-K-033,442912.1352,6472153.675,NA,NA,NA
2009-06-07-K-004,486024.2651,6450781.698,NA,NA,NA
2009-06-07-K-009,450412.2512,6462439.538,NA,NA,NA
2009-06-10-K-010,454407.494,6462407.855,NA,NA,NA
2009-06-10-K-091,440151.5494,6471662.993,NA,NA,NA
2009-06-15-K-016,446001.6353,6466604.896,NA,NA,NA
2009-06-15-K-089,441513.3536,6471193.7,NA,NA,NA
2009-06-21-K-050,430685.4824,6507031.184,NA,NA,NA
2009-06-24-K-078,437379.2199,6471641.029,NA,NA,NA
2009-06-24-K-086,429047.7537,6462183.582,NA,NA,NA
2009-06-24-N-039,423241.3198,6515905.203,NA,NA,NA
2009-06-24-N-049,438218.2394,6490309.252,NA,NA,NA
2009-06-26-N-022,425244.2128,6510070.681,NA,NA,NA
2009-06-28-K-009,460021.5587,6460667.397,NA,NA,NA
2009-06-28-K-053,419735.0023,6513983.743,NA,NA,NA
2009-06-28-K-054,419875.6898,6515030.727,NA,NA,NA
2009-06-29-N-002,439908.5081,6479767.087,NA,NA,NA
2009-06-29-N-021,421837.2208,6513238.704,NA,NA,NA
2009-06-29-N-045,421216.9571,6513760.734,NA,NA,NA
2009-07-01-K-018,445722.5566,6465177.512,NA,NA,NA
2009-07-01-K-027,443794.8697,6469043.829,NA,NA,NA
2009-07-01-K-089,439722.9042,6478521.8,NA,NA,NA
2009-07-01-K-096,441976.893,6475880.15,NA,NA,NA
2009-07-01-K-099,439862.2011,6471042.787,NA,NA,NA
2009-07-01-N-025,427933.0126,6510306.358,NA,NA,NA
2009-07-01-N-065,430418.3254,6507672.816,NA,NA,NA
2009-07-05-N-017,410268.2961,6521631.495,NA,NA,NA
2009-07-05-N-046,429024.8926,6507442.867,NA,NA,NA
2009-07-06-K-041,434853.3361,6464351.422,NA,NA,NA
2009-07-06-K-045,419839.6037,6460687.506,NA,NA,NA
2009-07-06-K-055,413892.4724,6457872.873,NA,NA,NA
2009-07-06-K-058,411894.6642,6453120.406,NA,NA,NA
2009-07-12-K-096,429552.6356,6462224.649,NA,NA,NA
2009-07-12-N-053,417565.9642,6518756.755,NA,NA,NA
2009-07-15-K-046,426513.8366,6511240.737,NA,NA,NA
2009-07-15-K-062,440706.2148,6473553.779,NA,NA,NA
2009-07-15-K-068,440212.5207,6471073.477,NA,NA,NA
2009-07-15-K-076,436683.6523,6467498.007,NA,NA,NA
2009-07-15-K-084,420933.8931,6461884.896,NA,NA,NA
2009-07-15-N-054,438342.8178,6486466.75,NA,NA,NA
2009-07-18-N-020,409625.6157,6524995.19,NA,NA,NA
2009-07-19-N-017,426967.1121,6508562.399,NA,NA,NA
2009-07-19-N-048,435856.2824,6503548.686,NA,NA,NA
2009-07-20-K-010,441788.7854,6472031.882,NA,NA,NA
2009-07-20-K-020,440130.4284,6478582.773,NA,NA,NA
2009-07-20-K-058,437265.0482,6493874.86,NA,NA,NA
2009-07-20-K-065,437625.6772,6486013.375,NA,NA,NA
2009-07-20-K-070,442677.3221,6477419.6,NA,NA,NA
2009-07-20-K-091,437968.2085,6467452.058,NA,NA,NA
2009-07-20-N-002,441671.8347,6480714.593,NA,NA,NA
2009-07-20-N-008,442906.2772,6485704.395,NA,NA,NA
2009-07-24-N-015,417046.1407,6519135.462,NA,NA,NA
2009-07-25-N-038,423016.5313,6514262.595,NA,NA,NA
2009-07-26-K-080,421112.3343,6462286.046,NA,NA,NA
2009-07-29-K-004,453089.3147,6460208.88,NA,NA,NA
2009-07-29-K-021,415131.0245,6518288.276,NA,NA,NA
2009-08-03-K-007,448063.0988,6463375.176,NA,NA,NA
2009-08-07-N-010,428772.8791,6506863.083,NA,NA,NA
2009-08-09-K-081,441895.8123,6467329.071,NA,NA,NA
2009-08-09-K-086,440207.8428,6465606.724,NA,NA,NA
2009-08-09-K-088,437847.2406,6464035.005,NA,NA,NA
2009-08-09-K-094,422917.3212,6460626.279,NA,NA,NA
2009-08-09-N-042,423340.6858,6515156.644,NA,NA,NA
2009-08-10-N-048,437496.4326,6488585.061,NA,NA,NA
2009-08-12-K-009,437349.2825,6486842.323,NA,NA,NA
2009-08-12-K-048,437533.6301,6491619.99,NA,NA,NA
2009-08-12-K-052,436997.9435,6485984.76,NA,NA,NA
2009-08-12-K-062,440200.2584,6476445.994,NA,NA,NA
2009-08-12-K-066,440906.0863,6474274.335,NA,NA,NA
2009-08-12-K-067,440512.4124,6473444.182,NA,NA,NA
2009-08-12-K-079,423701.8029,6460387.87,NA,NA,NA
2009-08-12-N-006,439277.1468,6484073.595,NA,NA,NA
2009-08-12-N-057,438720.7605,6492758.112,NA,NA,NA
2009-08-14-N-022,428256.323,6511876.375,NA,NA,NA
2009-08-16-K-047,442592.8288,6467187.798,NA,NA,NA
2009-08-19-K-002,452934.3012,6462388.999,NA,NA,NA
2009-08-19-K-010,448075.5628,6464311.305,NA,NA,NA
2009-08-19-K-050,416883.4639,6515254.092,NA,NA,NA
2009-08-19-K-068,442838.7084,6475346.363,NA,NA,NA
2009-08-21-N-026,435561.3817,6498954.327,NA,NA,NA
2009-08-23-N-031,394595.5893,6531961.174,NA,NA,NA
2009-08-23-N-044,437603.0485,6490787.672,NA,NA,NA
2009-08-24-N-003,439394.04,6487558.108,NA,NA,NA
2009-08-24-N-036,438954.2965,6481995.365,NA,NA,NA
2009-08-26-K-010,444211.1463,6467384.856,NA,NA,NA
2009-08-26-K-028,437345.0194,6487904.757,NA,NA,NA
2009-08-26-K-072,417340.4854,6459871.592,NA,NA,NA
2009-08-31-K-049,438401.373,6480262.465,NA,NA,NA
2009-08-31-K-063,441985.5062,6474624.129,NA,NA,NA
2009-08-31-K-072,440405.4555,6469044.427,NA,NA,NA
2009-08-31-N-039,436347.0073,6497736.12,NA,NA,NA
2009-09-07-K-014,442208.8775,6477063.598,NA,NA,NA
2009-09-07-K-021,438827.344,6480605.901,NA,NA,NA
2009-09-07-K-089,436918.0546,6467885.853,NA,NA,NA
2009-09-09-N-066,437449.2087,6485989.333,NA,NA,NA
2009-09-11-N-006,439519.2396,6485046.403,NA,NA,NA
2009-09-13-K-003,438632.8268,6482535.57,NA,NA,NA
2009-09-13-K-042,437205.7158,6485043.297,NA,NA,NA
2009-09-14-N-007,424640.4411,6512803.042,NA,NA,NA
2009-09-20-K-007,438525.0742,6483315.728,NA,NA,NA
2009-09-20-K-013,438549.239,6485945.915,NA,NA,NA
2009-09-20-K-017,437972.3533,6485523.527,NA,NA,NA
2009-09-20-K-020,438192.5284,6489300.867,NA,NA,NA
2009-09-21-N-010,436681.7688,6496355.785,NA,NA,NA
2009-09-21-N-052,437827.875,6492351.493,NA,NA,NA
2009-09-23-N-043,437861.1896,6483806.306,NA,NA,NA
2009-09-28-K-007,438197.1999,6481849.48,NA,NA,NA
2009-09-28-K-016,438028.3464,6484067.195,NA,NA,NA
2009-09-28-K-084,438803.0258,6480218.064,NA,NA,NA
2010-05-17-N-009,424391.1371,6509676.082,NA,NA,NA
2010-05-17-N-040,428005.9465,6508923.566,NA,NA,NA
2010-05-21-N-039,412665.7254,6523510.753,NA,NA,NA
2010-05-24-N-066,438840.6782,6486452.281,NA,NA,NA
2010-05-29-N-056,437819.7019,6490348.005,NA,NA,NA
2010-05-29-N-060,437516.0184,6486153.524,NA,NA,NA
2010-05-30-N-048,438504.2605,6493344.897,NA,NA,NA
2010-05-31-N-004,439972.0005,6480107.9,NA,NA,NA
2010-05-31-N-007,439133.7639,6481785.624,NA,NA,NA
2010-05-31-N-064,437754.584,6486655.005,NA,NA,NA
2010-06-04-N-013,414273.2619,6521419.444,NA,NA,NA
2010-06-06-N-050,437900.1793,6482499.065,NA,NA,NA
2010-06-07-N-010,436261.0883,6488204.34,NA,NA,NA
2010-06-07-N-016,437784.9421,6498059.019,NA,NA,NA
2010-06-07-N-024,429927.4029,6507248.976,NA,NA,NA
2010-06-09-N-002,437548.8057,6484794.782,NA,NA,NA
2010-06-09-N-011,438229.246,6493574.104,NA,NA,NA
2010-06-09-N-058,439115.075,6498766.923,NA,NA,NA
2010-06-12-N-042,424400.0859,6510502.21,NA,NA,NA
2010-06-13-N-047,439057.6925,6494354.359,NA,NA,NA
2010-06-14-N-017,409664.4938,6525471.818,NA,NA,NA
2010-06-14-N-047,437067.9342,6496618.487,NA,NA,NA
2010-06-14-N-049,438695.6167,6491699.078,NA,NA,NA
2010-06-14-N-053,438645.0683,6485678.757,NA,NA,NA
2010-06-18-N-005,437893.5083,6486379.109,NA,NA,NA
2010-06-20-N-005,437194.7153,6492579.815,NA,NA,NA
2010-06-21-N-065,438117.0925,6484302.771,NA,NA,NA
2010-06-21-N-066,438511.6946,6483583.529,NA,NA,NA
2010-06-23-N-035,437932.7781,6489920.296,NA,NA,NA
2010-06-25-N-003,437052.1483,6489844.365,NA,NA,NA
2010-06-28-N-040,432155.1817,6504152.789,NA,NA,NA
2010-07-04-N-004,442240.7655,6486701.53,NA,NA,NA
2010-07-04-N-058,440286.6257,6495688.054,NA,NA,NA
2010-07-07-N-002,438798.1205,6481109.264,NA,NA,NA
2010-07-07-N-007,438217.7581,6486116.095,NA,NA,NA
2010-07-09-N-006,439018.715,6489142.233,NA,NA,NA
2010-07-11-N-010,432732.4794,6505305.468,NA,NA,NA
2010-07-11-N-043,439008.265,6495613.815,NA,NA,NA
2010-07-12-N-002,438251.32,6480279.725,NA,NA,NA
2010-07-12-N-003,438611.5322,6481069.356,NA,NA,NA
2010-07-12-N-055,428175.199,6509437.277,NA,NA,NA
2010-07-12-N-062,438021.8656,6485260.192,NA,NA,NA
2010-07-18-N-006,438528.0052,6488265.249,NA,NA,NA
2010-07-18-N-056,438431.0856,6484508.009,NA,NA,NA
2010-07-19-K-018,448456.9353,6464761.314,NA,NA,NA
2010-07-19-K-028,446464.4872,6465736.603,NA,NA,NA
2010-07-19-K-032,445930.1273,6466062.124,NA,NA,NA
2010-07-19-K-037,443728.7059,6468505.296,NA,NA,NA
2010-07-19-K-044,442824.4057,6475058.113,NA,NA,NA
2010-07-19-K-049,439951.9755,6480422.529,NA,NA,NA
2010-07-19-K-054,438558.4807,6482289.53,NA,NA,NA
2010-07-19-K-082,440940.1312,6478386.954,NA,NA,NA
2010-07-19-K-087,441164.6274,6473833.383,NA,NA,NA
2010-07-19-K-100,425745.0972,6464037.159,NA,NA,NA
2010-07-19-K-106,417676.5122,6460692.923,NA,NA,NA
2010-07-19-N-004,441141.0863,6478072.245,NA,NA,NA
2010-07-19-N-053,438718.9468,6486589.853,NA,NA,NA
2010-07-25-K-002,478503.9823,6453610.813,NA,NA,NA
2010-07-25-K-007,471228.3877,6454305.802,NA,NA,NA
2010-07-25-K-018,444066.9869,6470177.684,NA,NA,NA
2010-07-25-K-078,441682.8647,6474674.969,NA,NA,NA
2010-07-25-K-085,475384.5402,6452174.062,NA,NA,NA
2010-07-25-K-086,471242.6619,6452505.648,NA,NA,NA
2010-07-25-K-096,487987.7012,6445305.857,NA,NA,NA
2010-07-26-N-023,410733.2665,6520814.156,NA,NA,NA
2010-08-02-K-006,456127.5508,6461868.273,NA,NA,NA
2010-08-02-K-048,438295.4453,6481693.807,NA,NA,NA
2010-08-02-K-054,441127.0746,6476395.614,NA,NA,NA
2010-08-02-K-057,440001.3075,6475357.194,NA,NA,NA
2010-08-02-K-071,441188.9963,6469700.325,NA,NA,NA
2010-08-02-K-075,440247.8938,6467238.577,NA,NA,NA
2010-08-02-K-080,416803.7473,6460432.807,NA,NA,NA
2010-08-02-K-082,417533.853,6460496.298,NA,NA,NA
2010-08-04-N-031,439629.2292,6487125.221,NA,NA,NA
2010-08-12-N-010,431577.1966,6505086.143,NA,NA,NA
2010-08-12-N-036,417565.6371,6517471.142,NA,NA,NA
2010-08-13-N-035,423789.8356,6512972.575,NA,NA,NA
2010-08-15-K-009,451393.2709,6464014.609,NA,NA,NA
2010-08-15-K-032,439661.6989,6493613.708,NA,NA,NA
2010-08-15-K-062,438285.7585,6482813.332,NA,NA,NA
2010-08-15-K-070,453987.5777,6461403.408,NA,NA,NA
2010-08-15-K-080,494764.8652,6438818.117,NA,NA,NA
2010-08-15-K-085,507883.5547,6419768.064,NA,NA,NA
2010-08-15-K-094,509842.1854,6392291.281,NA,NA,NA
2010-08-15-K-099,512115.1276,6385631.404,NA,NA,NA
2010-08-18-N-032,438791.1437,6484669.964,NA,NA,NA
2010-08-23-K-043,441682.5619,6473357.751,NA,NA,NA
2010-08-27-N-006,437207.4396,6491534.338,NA,NA,NA
2010-08-29-N-013,419490.4238,6516722.675,NA,NA,NA
2010-08-30-K-013,443770.8639,6468950.239,NA,NA,NA
2010-08-30-K-033,438057.9848,6483756.413,NA,NA,NA
2010-09-04-N-034,410775.077,6521958.829,NA,NA,NA
2010-09-09-N-032,417288.0777,6519042.557,NA,NA,NA
2010-09-12-N-030,413724.8003,6524543.51,NA,NA,NA
2010-09-15-N-044,438194.3558,6484834.023,NA,NA,NA
2010-09-19-N-041,399252.0111,6529474.831,NA,NA,NA
2010-09-20-N-012,412285.5151,6525838.446,NA,NA,NA
2011-05-17-N-043,422989.6549,6513436.025,NA,NA,NA
2011-06-05-N-042,438665.0717,6485582.739,NA,NA,NA
2011-06-06-N-034,438892.9097,6492313.276,NA,NA,NA
2011-06-10-N-037,425377.2572,6510085.273,NA,NA,NA
2011-06-12-N-026,436486.4023,6503345.713,NA,NA,NA
2011-06-19-N-026,415468.057,6519948.286,NA,NA,NA
2011-06-19-N-033,439278.122,6486243.291,NA,NA,NA
2011-06-20-N-033,439144.1388,6487913.458,NA,NA,NA
2011-06-23-N-002,439915.8982,6482894.569,NA,NA,NA
2011-06-26-N-002,437822.5295,6487722.545,NA,NA,NA
2011-06-30-N-031,438227.8582,6489777.824,NA,NA,NA
2011-07-08-N-002,438827.2709,6483494.041,NA,NA,NA
2011-07-08-N-054,437896.8778,6492037.817,NA,NA,NA
2011-07-10-N-011,437817.0217,6485972.851,NA,NA,NA
2011-07-10-N-014,437770.2734,6487054.257,NA,NA,NA
2011-07-10-N-018,437382.6402,6489076.416,NA,NA,NA
2011-07-15-N-047,439020.3864,6483471.93,NA,NA,NA
2011-07-16-N-007,439670.6114,6480754.431,NA,NA,NA
2011-07-17-N-002,439032.6162,6482144.555,NA,NA,NA
2011-07-18-N-035,438629.6834,6488554.556,NA,NA,NA
2011-07-20-N-003,438486.1953,6483936.737,NA,NA,NA
2011-07-20-N-034,438294.7469,6486128.461,NA,NA,NA
2011-07-22-N-035,426978.0148,6509921.918,NA,NA,NA
2011-07-22-N-046,438613.7762,6484880.683,NA,NA,NA
2011-07-24-N-003,437643.3313,6482670.385,NA,NA,NA
2011-07-25-N-027,438680.0653,6499327.018,NA,NA,NA
2011-07-27-N-005,438014.5733,6490296.708,NA,NA,NA
2011-07-27-N-024,431126.7352,6510635.884,NA,NA,NA
2011-07-27-N-032,437540.0463,6486470.297,NA,NA,NA
2011-07-29-N-029,437708.8212,6502341.55,NA,NA,NA
2011-08-03-N-003,437293.9018,6486896.677,NA,NA,NA
2011-08-03-N-024,436399.9898,6506439.895,NA,NA,NA
2011-08-08-N-004,436878.1794,6493226.939,NA,NA,NA
2011-08-17-N-019,438976.5984,6482414.106,NA,NA,NA
2011-08-24-N-002,438084.4103,6482309.071,NA,NA,NA
2011-08-24-N-004,438569.5898,6482902.553,NA,NA,NA
2011-08-24-N-028,437278.9876,6491026.47,NA,NA,NA
