"unique_event_ID","same_whale_ID","X_ship_UTM","Y_ship_UTM","X_whale_UTM","Y_whale_UTM","ship_whale_dist","ship_whale_bearing","Y_PROJ","X_PROJ","ob_order_time","X_whale_long","X_whale_lat","X_ship_rad","Y_ship_rad","bearing_rad","ship_whale_dist_w_err","new_lat_whale_rad","new_long_whale_rad","new_whale_lat","new_whale_long"
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,2191.99982065873,1.02617244190581,-2.38017414099807,58.7953499738365,-136.373932785365
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1822.32260340862,1.02611522031856,-2.38016417474637,58.7920714183899,-136.373361761206
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1295.63416861381,1.02603369499362,-2.38014997557807,58.7874003613478,-136.372548208789
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1283.19056284321,1.02603176886215,-2.38014964010678,58.7872900021437,-136.3725289877
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1020.16810465345,1.02599105587297,-2.3801425491975,58.784957319692,-136.372122708526
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,935.223213206078,1.02597790731814,-2.38014025914018,58.7842039629939,-136.371991497906
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1177.36942140168,1.02601538892131,-2.38014678723967,58.7863515006648,-136.372365530455
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1045.84338982146,1.02599503012899,-2.38014324138598,58.7851850277891,-136.372162368004
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1691.50680083134,1.02609497156544,-2.38016064803961,58.7909112502958,-136.373159695792
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1629.9635463997,1.02608544538366,-2.38015898887456,58.790365440285,-136.373064632638
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1695.50668776238,1.02609559070137,-2.38016075587389,58.7909467241715,-136.373165874242
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1476.77217039558,1.02606173311577,-2.38015485893742,58.7890068274121,-136.37282800467
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1684.43170707509,1.02609387642324,-2.3801604572998,58.7908485032701,-136.373148767207
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1649.42134353718,1.02608845722541,-2.38015951344377,58.7905380061061,-136.37309468824
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1825.00305329344,1.02611563522057,-2.38016424700951,58.7920951905239,-136.373365901579
"2010-08-29-N-013","2010-08-29-N-013",420743.5721,6515914.979,419490.4238,6516722.675,1490.890206,-9.983099188,58.77590965,-136.3705469,1,-136.392639013409,58.7829684645493,-2.38011504615035,1.02583314424721,-0.174237950383772,1615.03895230888,1.02608313522894,-2.38015858651747,58.7902330781698,-136.373041579274
