"unique_event_ID","same_whale_ID","X_ship_UTM","Y_ship_UTM","X_whale_UTM","Y_whale_UTM","ship_whale_dist","ship_whale_azimuth","Y_PROJ","X_PROJ","ob_order_time","X_whale_long","X_whale_lat","X_ship_rad","Y_ship_rad","bearing_rad","ship_whale_dist_w_err","new_lat_whale_rad","new_long_whale_rad","new_whale_lat","new_whale_long"
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,5401.47530581951,1.02473847183691,-2.37830634083671,58.7131895409403,-136.266915719146
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,5579.85514265588,1.02474929280004,-2.37835614377674,58.7138095364581,-136.269769217417
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,6023.93920678949,1.02477622725864,-2.37848013798273,58.7153527672596,-136.276873562104
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,3883.10745266212,1.02464631932424,-2.37788249039138,58.7079095908928,-136.242630877484
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,6250.24699881692,1.02478995058894,-2.37854333037088,58.7161390561666,-136.280494219243
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,6234.60555956181,1.02478900214729,-2.37853896268795,58.716084714463,-136.280243969444
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,5879.39059311225,1.02476746088682,-2.37843977687123,58.7148504911522,-136.274561040759
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,5258.58725678851,1.0247298030996,-2.37826644834194,58.7126928588789,-136.264630047561
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,3538.98591348794,1.02462542287915,-2.37778644717171,58.7067123127826,-136.237128006345
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,5387.2808562584,1.02473761071913,-2.37830237787911,58.7131402025258,-136.266688658401
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,5913.93239475079,1.02476955579296,-2.37844942158635,58.7149705204327,-136.27511364223
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,4890.24108184463,1.02470745300367,-2.37816361610386,58.7114122927107,-136.258738194322
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,3996.23058709184,1.02465318772214,-2.37791406413815,58.7083031211045,-136.244439919917
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,4892.5236455249,1.02470759151696,-2.3781642533103,58.7114202289375,-136.258774703561
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,4439.60551423077,1.02468010346192,-2.37803782119208,58.7098452793967,-136.251530676792
"2009-07-19-N-017","2009-07-19-N-017",431570.0643,6506629.501,426967.1121,6508562.399,4992.320586,292.7787915,58.69438576,-136.1805578,1,-136.260691926327,58.7110297102744,-2.37679911081245,1.02441028394767,5.10995389168499,5762.18033040312,1.02476035196035,-2.37840705007593,58.7144431796686,-136.272685933511
