"new_whale_long","new_whale_lat"
427742.675050648,6508476.9600489
427547.016901092,6508535.82701707
427603.69833793,6508518.77347144
427524.144301288,6508542.70861716
427738.056072504,6508478.34974386
427890.525547002,6508432.47682626
427537.342687306,6508538.73766428
427658.046434093,6508502.42195316
427687.22079452,6508493.64436849
427726.952452288,6508481.69044933
427377.909053363,6508586.7059246
427458.472936876,6508562.4669369
427801.398251329,6508459.29221756
427776.680106774,6508466.72907347
427779.903904374,6508465.75914148
427392.518202064,6508582.31051809
427457.526093838,6508562.75181038
427932.80317195,6508419.75692068
427382.169348806,6508585.4241435
427517.921496777,6508544.58085096
427514.050014866,6508545.74565043
427934.539553585,6508419.2345023
427745.56037646,6508476.09195155
427766.21889886,6508469.87649826
427556.88693017,6508532.85745569
427587.943125301,6508523.5136868
427657.177973469,6508502.68324379
427584.175118601,6508524.64735375
427904.479396339,6508428.27858534
427431.042639407,6508570.71979848
427553.190719074,6508533.96952188
427688.20206675,6508493.34913667
427388.734201172,6508583.44899797
427528.750871216,6508541.32265433
427685.690625716,6508494.10474484
427911.785124464,6508426.08053913
427847.774398488,6508445.33920103
427780.594900103,6508465.55124417
427913.628593045,6508425.52590187
427722.285488679,6508483.09458158
427715.446392591,6508485.15223543
427500.013865551,6508549.96865863
427565.911788466,6508530.14217801
427735.210247028,6508479.20595692
427604.168689046,6508518.63195856
427937.6833793,6508418.28863169
427781.105386989,6508465.39765588
427509.683264397,6508547.05945967
427717.52261882,6508484.52756882
427713.947699922,6508485.60314162
427407.589213901,6508577.77615258
427523.921912761,6508542.77552643
