steps,turns,time_diff_sec,type,same_whale_ID,X,Y,time_txt,ob_order_time,ship_whale_dist,ship_whale_bearing,whale_behavior
191.180334,-2.311569664,27,surface_interval,2009-09-13-K-003,438694.1478,6482758.513,6:43:45,2,793.014067,-14.51126562,BL-Blowing
12.61038927,-1.544876883,19,surface_interval,2009-09-13-K-003,438795.9605,6482596.698,6:44:12,3,399.6414662,-23.193913,BL-Blowing
9.669174433,1.448618453,18,surface_interval,2009-09-13-K-003,438785.4647,6482589.708,6:44:31,4,276.1702604,-38.25073393,BL-Blowing
41.39264352,2.452295226,17,surface_interval,2009-09-13-K-003,438789.8036,6482581.067,6:44:49,5,182.2281116,-69.8757297,BL-Blowing
123.7566561,NA,53,surface_interval,2010-06-09-N-058,439115.075,6498766.923,15:09:05,1,585.5130115,0.097855737,BL-Blowing
66.76541393,-2.026832767,19,surface_interval,2010-06-09-N-058,439094.8631,6498644.828,15:09:58,2,286.7193965,10.65832753,BL-Blowing
41.06757056,2.444782682,14,surface_interval,2010-06-09-N-058,439040.5277,6498683.626,15:10:17,3,102.7542523,106.2317318,BL-Blowing
230.2433343,-0.150033465,47,surface_interval,2010-06-12-N-042,423636.4623,6511434.486,16:46:10,2,1993.547514,35.16366514,BL-Blowing
500.6316995,-0.600454088,53,surface_interval,2010-06-12-N-042,423518.8286,6511632.411,16:46:57,3,1494.616589,45.25751522,BL-Blowing
107.5665546,-2.208699146,61,surface_interval,2010-06-12-N-042,423550.9524,6512132.011,16:47:50,4,741.4659907,60.60747619,DF-Dive-fluke-up
428.1969631,NA,40,surface_interval,2010-07-19-K-018,448456.9353,6464761.314,6:09:01,1,1485.310368,10.17779487,BL-Blowing
497.9686596,0.086997688,37,surface_interval,2010-07-19-K-018,448823.361,6464539.763,6:09:41,2,865.2626442,10.30520372,BL-Blowing
72.91660542,0.748028036,23,surface_interval,2010-07-19-K-018,448760.2076,6464410.517,6:11:21,4,384.5238523,0.298010318,BL-Blowing
78.84081764,0.260535631,27,surface_interval,2010-07-19-K-018,448698.9218,6464371.009,6:11:44,5,318.3473341,-10.12055653,BL-Blowing
