"","steps","turns","time_diff_sec","type","same_whale_ID","X","Y","time_txt","ob_order_time","ship_whale_dist","ship_whale_bearing","whale_behavior"
"33",189.523585595304,NA,143,"long_int","2009-06-28-K-053",419735.0023,6513983.743,"14:59:03",1,2495.658108,43.56502182,"BL-Blowing"
"34",464.747305458617,NA,265,"long_int","2009-06-28-K-054",419875.6898,6515030.727,"15:00:01",1,1195.738382,44.79035031,"BL-Blowing"
"35",684.368405735482,NA,208.000000000001,"long_int","2009-06-29-N-021",421837.2208,6513238.704,"12:09:43",1,2969.373687,-21.79873779,"BL-Blowing"
"36",143.456866981439,NA,28.9999999999981,"short_int","2009-07-01-K-027",443794.8697,6469043.829,"6:31:08",1,485.3398535,-9.34512828,"BL-Blowing"
"37",30.1068261273645,-0.42621764580531,24.0000000000006,"short_int","2009-07-01-K-027",443771.5694,6469185.381,"6:31:37",2,440.3536238,-12.30368022,"BL-Blowing"
"38",14.8538545714868,0.718478727994767,22.0000000000002,"short_int","2009-07-01-K-027",443779.3987,6469214.452,"6:32:01",3,304.5547978,-20.83789517,"BL-Blowing"
"39",884.26558116576,NA,325.000000000003,"long_int","2009-07-01-K-096",441976.893,6475880.15,"16:27:03",1,2994.317361,59.15110931,"BL-Blowing"
"40",252.532463539448,NA,124.999999999997,"long_int","2009-07-01-N-025",427933.0126,6510306.358,"11:36:08",1,1486.188169,17.47291689,"BL-Blowing"
"41",52.9625737857049,-0.427741306080341,28.9999999999949,"short_int","2009-07-01-N-025",427470.2645,6510285.804,"11:39:52",4,197.8351044,20.0505652,"BL-Blowing"
"42",879.830152068771,NA,268.999999999994,"long_int","2009-07-01-N-065",430418.3254,6507672.816,"18:52:46",1,3985.031706,-16.90221502,"BL-Blowing"
"43",609.665485465627,NA,151.000000000008,"long_int","2009-07-06-K-045",419839.6037,6460687.506,"18:25:09",1,2485.122205,-7.19566346,"BL-Blowing"
"44",479.512994326754,-0.223465288380775,134.000000000002,"long_int","2009-07-06-K-058",412248.9986,6453775.839,"18:52:49",2,1987.087602,-25.63481224,"BL-Blowing"
"45",428.501797380222,NA,126.000000000001,"long_int","2009-07-15-K-062",440706.2148,6473553.779,"16:21:09",1,2988.36875,28.70921874,"BL-Blowing"
"46",384.886722866489,1.11510997960836,136.999999999999,"long_int","2009-07-15-K-062",441131.8101,6473603.603,"16:23:15",2,1988.802973,31.67569173,"BL-Blowing"
"47",1753.22700692964,NA,187,"long_int","2009-07-15-K-076",436683.6523,6467498.007,"16:42:09",1,3990.816154,42.76593581,"BL-Blowing"
"48",502.422327711726,NA,134.999999999992,"long_int","2009-07-15-K-084",420933.8931,6461884.896,"17:17:15",1,2985.965854,6.294106516,"BL-Blowing"
"49",141.262494919707,-0.485192415249399,19.9999999999967,"short_int","2009-07-18-N-020",409821.8331,6524574.097,"13:42:18",2,484.7123752,-14.84796126,"BL-Blowing"
"50",668.355975835178,NA,155.000000000002,"long_int","2009-07-19-N-017",426967.1121,6508562.399,"7:30:40",1,4992.320586,-20.89146603,"BL-Blowing"
"51",3454.68665945219,NA,140.000000000003,"long_int","2009-07-20-N-002",441671.8347,6480714.593,"10:51:44",1,3014.828386,128.756132,"BL-Blowing"
"52",689.839398742038,NA,159.999999999999,"long_int","2009-07-25-N-038",423016.5313,6514262.595,"14:15:46",1,2984.822704,-8.194459601,"BL-Blowing"
"53",290.514459119173,2.29719139469843,29.0000000000013,"short_int","2009-07-25-N-038",422353.6535,6514229.501,"14:19:13",3,441.1318578,8.349846828,"BL-Blowing"
"54",587.536276178551,-2.94921080511294,24.0000000000038,"short_int","2009-07-29-K-021",416580.6882,6518616.375,"14:22:26",2,1785.498376,8.127789157,"BL-Blowing"
"55",62.9254520522221,-0.194415854929872,28.0000000000012,"short_int","2009-08-03-K-007",450240.8814,6464147.714,"6:11:35",4,685.0203347,-33.43525047,"BL-Blowing"
"56",219.726914102913,-2.74310242324801,143.000000000006,"long_int","2009-08-09-K-081",441994.6761,6467465.281,"16:48:25",2,792.8107548,15.12826423,"BL-Blowing"
"57",1856.65818565988,NA,295.999999999995,"long_int","2009-08-12-K-062",440200.2584,6476445.994,"16:20:02",1,2493.147555,69.97909693,"BL-Blowing"
"58",254.85169281199,NA,271.999999999991,"long_int","2009-08-12-N-057",438720.7605,6492758.112,"19:12:21",1,3484.877641,-2.959383911,"BL-Blowing"
